no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
1,Valmiki Nagar,valmiki-nagar,Paschim Champaran,,1,Valmiki Nagar,Rajesh Singh,JD(U),42289,Mukesh Kumar Kushwaha,RJD,27618,14671,Dhirendra Pratap Singh,IND,"66,860",Irshad Hussain,INC,"33,280","33,580",Dhirendra Pratap Singh,JD(U),"74,906",Rajesh Singh,INC,"53,321","21,585",,,,,,,,Dhirendra Pratap Singh,JD(U),NDA,,False,False
2,Ramnagar,ramnagar-sc,Paschim Champaran,SC,1,Valmiki Nagar,Bhagirathi Devi,BJP,51993,Naresh Ram,INC,22211,29782,Bhagirathi Devi,BJP,"82,166",Purnmasi Ram,INC,"64,178","17,988",Bhagirathi Devi,BJP,"75,423",Rajesh Ram,INC,"59,627","15,796",,,,,,,,Bhagirathi Devi,BJP,NDA,,False,False
3,Narkatiaganj,narkatiaganj,Paschim Champaran,,1,Valmiki Nagar,Satish Chandra Dubey,BJP,45022,Alok Prasad Verma,INC,24794,20228,Vinay Verma,INC,"57,212",Renu Devi,BJP,"41,151","16,061",Rashmi Verma,BJP,"75,484",Vinay Verma,INC,"54,350","21,134",,,,,,,,Rashmi Varma,BJP,NDA,,False,True
4,Bagaha,bagaha,Paschim Champaran,,1,Valmiki Nagar,Prabhat Ranjan Singh,JD(U),67510,Ram Prasad Yadav,RJD,18455,49055,Raghaw Sharan Pandey,BJP,"74,476",Bhishm Sahani,JD(U),"66,293","8,183",Ram Singh,BJP,"90,013",Jayesh Mangalam Singh,INC,"59,993","30,020",,,,,,,,Ram Singh,BJP,NDA,,False,False
5,Lauriya,lauriya,Paschim Champaran,,1,Valmiki Nagar,Vinay Bihari,IND,38381,Pradeep Singh,JD(U),27500,10881,Vinay Bihari,BJP,"57,351",Ran Kaushal Pratap Singh,RJD,"39,778","17,573",Vinay Bihari,BJP,"77,927",Shambhu Tiwari,RJD,"48,923","29,004",,,,,,,,Vinay Bihari,BJP,NDA,,False,False
6,Nautan,nautan,Paschim Champaran,,2,Paschim Champaran,Manorma Prasad,JD(U),40894,Narayan Prasad,LJP,18130,22764,Narayan Prasad,BJP,"66,697",Baidyanath Prasad Mahto,JD(U),"52,362","14,335",Narayan Prasad,BJP,"78,657",Sheikh Mohammad Kamran,INC,"52,761","25,896",,,,,,,,Narayan Prasad,BJP,NDA,,False,False
7,Chanpatia,chanpatia,Paschim Champaran,,2,Paschim Champaran,Chandra Mohan Rai,BJP,44835,Ejaj Hussain,BSP,21423,23412,Prakash Rai,BJP,"61,304",N. N. Sahi,JD(U),"60,840",464,Umakant Singh,BJP,"83,828",Abhishek Ranjan,INC,"70,359","13,469",,,,,,,,Umakant Singh,BJP,NDA,,False,False
8,Bettiah,bettiah,Paschim Champaran,,2,Paschim Champaran,Renu Devi,BJP,42010,Anil Kumar Jha,IND,13221,28789,Madan Mohan Tiwari,INC,"66,786",Renu Devi,BJP,"64,466","2,320",Renu Devi,BJP,"84,496",Madan Mohan Tiwari,INC,"66,417","18,079",,,,,,,,Renu Devi,BJP,NDA,,False,False
9,Sikta,sikta,Paschim Champaran,,1,Valmiki Nagar,Dilip Varma,IND,49229,Khurshid (Feroz Ahmad),JD(U),40450,8779,Khurshid (Feroz Ahmad),JD(U),"69,870",Dilip Varma,BJP,"67,035","2,835",Birendra Prasad Gupta,CPI(ML)L,"49,075",Dilip Varma,IND,"46,773","2,302",,,,,,,,Birendra Prasad Gupta,CPI(ML)L,MGB,,False,False
10,Raxaul,raxaul,Purvi Champaran,,2,Paschim Champaran,Ajay Kumar Singh,BJP,48686,Raj Nandan Rai,LJP,38569,10117,Ajay Kumar Singh,BJP,"64,731",Suresh Kumar,RJD,"61,562","3,169",Pramod Kumar Sinha,BJP,"80,979",Rambabu Prasad Yadav,INC,"44,056","36,923",,,,,,,,Pramod Kumar Sinha,BJP,NDA,,False,False
