"ac_no","ac_name","district","pc_no","pc_name","st_code","file"
"1","Valmiki Nagar","PASHCHIM CHAMPARAN","1","VALMIKI NAGAR","10","bihar_ac_001_valmiki_nagar.geojson"
"2","Ramnagar (SC)","PASHCHIM CHAMPARAN","1","VALMIKI NAGAR","10","bihar_ac_002_ramnagar_sc.geojson"
"3","Narkatiaganj","PASHCHIM CHAMPARAN","1","VALMIKI NAGAR","10","bihar_ac_003_narkatiaganj.geojson"
"4","Bagaha","PASHCHIM CHAMPARAN","1","VALMIKI NAGAR","10","bihar_ac_004_bagaha.geojson"
"5","Lauriya","PASHCHIM CHAMPARAN","1","VALMIKI NAGAR","10","bihar_ac_005_lauriya.geojson"
"6","Nautan","PASHCHIM CHAMPARAN","2","PASCHIM CHAMPARAN","10","bihar_ac_006_nautan.geojson"
"7","Chanpatia","PASHCHIM CHAMPARAN","2","PASCHIM CHAMPARAN","10","bihar_ac_007_chanpatia.geojson"
"8","Bettiah","PASHCHIM CHAMPARAN","2","PASCHIM CHAMPARAN","10","bihar_ac_008_bettiah.geojson"
"9","Sikta","PASHCHIM CHAMPARAN","1","VALMIKI NAGAR","10","bihar_ac_009_sikta.geojson"
"10","Raxaul","PURBA CHAMPARAN","2","PASCHIM CHAMPARAN","10","bihar_ac_010_raxaul.geojson"
"11","Sugauli","PURBA CHAMPARAN","2","PASCHIM CHAMPARAN","10","bihar_ac_011_sugauli.geojson"
"12","Narkatia","PURBA CHAMPARAN","2","PASCHIM CHAMPARAN","10","bihar_ac_012_narkatia.geojson"
"13","Harsidhi (SC)","PURBA CHAMPARAN","3","PURVI CHAMPARAN","10","bihar_ac_013_harsidhi_sc.geojson"
"14","Govindganj","PURBA CHAMPARAN","3","PURVI CHAMPARAN","10","bihar_ac_014_govindganj.geojson"
"15","Kesaria","PURBA CHAMPARAN","3","PURVI CHAMPARAN","10","bihar_ac_015_kesaria.geojson"
"16","Kalyanpur","PURBA CHAMPARAN","3","PURVI CHAMPARAN","10","bihar_ac_016_kalyanpur.geojson"
"17","Pipra","PURBA CHAMPARAN","3","PURVI CHAMPARAN","10","bihar_ac_017_pipra.geojson"
"18","Madhuban","PURBA CHAMPARAN","4","SHEOHAR","10","bihar_ac_018_madhuban.geojson"
"19","Motihari","PURBA CHAMPARAN","3","PURVI CHAMPARAN","10","bihar_ac_019_motihari.geojson"
"20","Chiraia","PURBA CHAMPARAN","4","SHEOHAR","10","bihar_ac_020_chiraia.geojson"
"21","Dhaka","PURBA CHAMPARAN","4","SHEOHAR","10","bihar_ac_021_dhaka.geojson"
